value_or_part,description,designators,quantity,status,notes
100nF,Capacitor,"C1,C2,C3,C4,C9,C11,C12",7,Third-party,Source: Gixy31/ESP32-PoolMaster
22nF,Capacitor,"C5,C6,C7,C8",4,Third-party,
10uF,Capacitor,"C10,C13",2,Third-party,Voltage rating and dielectric (À confirmer)
220nF,Capacitor,"C14,C15",2,Third-party,
ORP sensor,BNC elbow connector,J1,1,Third-party,Exact manufacturer part (À confirmer)
pH sensor,BNC elbow connector,J2,1,Third-party,Exact manufacturer part (À confirmer)
HEADER-1X4,I2C/power header,J3,1,Third-party,Pitch and pin order (À confirmer)
100k,Resistor,"R1,R2",2,Third-party,Tolerance and power rating (À confirmer)
51k,Resistor,"R3,R4",2,Third-party,Tolerance and power rating (À confirmer)
200k,Resistor,R5,1,Third-party,Tolerance and power rating (À confirmer)
1M,Resistor,R6,1,Third-party,Tolerance and power rating (À confirmer)
10k,Resistor,"R7,R8,R9,R10,R19,R20,R22,R23,R24",9,Third-party,Tolerance and power rating (À confirmer)
100,Resistor,"R11,R12,R13,R14",4,Third-party,Tolerance and power rating (À confirmer)
0,Resistor,"R15,R16,R17,R18",4,Third-party,Package (À confirmer)
30.9k,Resistor,R21,1,Third-party,Tolerance and power rating (À confirmer)
LMP7721MA/NOPB,Precision amplifier with femtoampere input bias,"U1,U2",2,Third-party,SOIC-8
ADS1115IDGSR,16-bit I2C ADC,U3,1,Third-party,I2C address configuration (À confirmer)
ADM3260,2.5 kVrms isolated I2C interface,U4,1,Third-party,SSOP-20
